Stock,Transaction,Politician,Party,Chamber,Amount,Traded,Filed
NVDA,Purchase,John McGuire,R,House,"$1,001 - $15,000",2026-01-30,2026-02-10 00:00:00
INTU,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-01-30,2026-02-11 00:00:00
WDAY,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-01-30,2026-02-11 00:00:00
SAP,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-01-30,2026-02-11 00:00:00
NFLX,Purchase,Michael T. McCaul,R,House,"$15,001 - $50,000",2026-01-30,2026-02-11 00:00:00
MSFT,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-01-30,2026-02-11 00:00:00
AMR1,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-30,2026-02-06 00:00:00
MELI,Purchase,Michael T. McCaul,R,House,"$1,001 - $15,000",2026-01-30,2026-02-11 00:00:00
CINF,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
BEN,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
CSCO,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
CRWD,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
CPT,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
BDX,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
CPRT,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
COR,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
COIN,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
COF,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
CME,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
CNC,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
BIIB,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
BSX,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
CTSH,Purchase,Ro Khanna,D,House,"$1,001 - $15,000",2026-01-29,2026-02-06 00:00:00
CHD,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
CMG,Purchase,Ro Khanna,D,House,"$15,001 - $50,000",2026-01-29,2026-02-06 00:00:00
